note_id,project_id,y,tier,rk,block,annotators,title_how,body_truncated,skipped_questions,raw_md5
NRT_phase2_recuYyYJm2MuYC,NRT_phase2,1,大爆,1,1,AC,colon,0,,a4f734b982e5bc6303dc2fcc8ca11910
NRT_phase2_recuXp4TjZJ1mu,NRT_phase2,1,爆,5,1,AC,colon,0,,34a32b4c32077b00290f5d669ae434cd
NRT_phase2_recuZ8QQXiae2a,NRT_phase2,1,爆,9,1,AC,colon,0,,2beb3fb7a3e42c3dad4e3dbb1199f46a
NRT_phase2_recuZkJtsfPTQl,NRT_phase2,0,趴,3,1,AC,colon,0,,6809322bfe6c24b86dac177cac085c86
NRT_phase2_recuZkJtsfhvnx,NRT_phase2,0,趴,7,1,AC,colon,0,,404ca8077464e5c2590c93391ce62fdb
NRT_phase3_recv1v9lLXTgAf,NRT_phase3,1,大爆,1,1,AC,colon,0,,8ecc1b640148a87ccdda409c7253183c
NRT_phase3_recv1v9lLXArh6,NRT_phase3,1,爆,5,1,AC,colon,0,,c397d41c266888604e2e62cd1b1e722c
NRT_phase3_recv4TDoP6PLAE,NRT_phase3,1,爆,9,1,AC,colon,0,,cb454661bb0ad5f3a9bb393ae7a20611
NRT_phase3_recv4TC4JgofIx,NRT_phase3,0,趴,3,1,AC,colon,0,,b215d8aed3747ebc9fe5ac1d909f6e91
NRT_phase3_recv1A3EXVZLGU,NRT_phase3,0,趴,7,1,AC,colon,0,,2c34f33f305d8340c79f06c3b7ada7c4
NUC_phase1_recv4LUeQWvDEd,NUC_phase1,1,爆,1,1,AC,colon,0,,31fb5e4452e9737208bdef936374124f
NUC_phase1_recv2Z8m1lpGw1,NUC_phase1,1,爆,5,1,AC,colon,0,,952945890e2e92422608e9f825574e4b
NUC_phase1_recv3JWU20d8TP,NUC_phase1,1,大爆,9,1,AC,colon,0,,b7b01074a508271ef5880e4da1eb01ed
NUC_phase1_recv2Z8m1l4wUd,NUC_phase1,0,趴,3,1,AC,colon,0,,911cc75e2516e887da530e9e9be0993b
NUC_phase1_recv2xd6lzC7a0,NUC_phase1,0,趴,7,1,AC,colon,0,,0afe2c6c340315a01226455e04c817f9
OKMAN_phase1_recvnBz7VKNxqT,OKMAN_phase1,1,爆,1,1,AC,bracket,0,,c62fbbb0e97a6c839e134a8d93a13c2f
OKMAN_phase1_recvmpA0N0zZng,OKMAN_phase1,1,大爆,5,1,AC,bracket,0,,ea9058405a8c50bb1931349e907eb77e
OKMAN_phase1_recvqtis0iPO6T,OKMAN_phase1,1,爆,9,1,AC,bracket,0,,37bcec285c1f735a9240e44bce6d39db
OKMAN_phase1_recvrd83rmaspe,OKMAN_phase1,0,趴,3,1,AC,bracket,0,,38d8f17980360acad214a7f5c4c6b3a1
OKMAN_phase1_recvoEvW6RrpbZ,OKMAN_phase1,0,趴,7,1,AC,bracket,0,,b894ce8001e87107dea427658c0b7bbf
SPX_phase1_recvrojVKWoBzU,SPX_phase1,1,大爆,1,1,AC,bracket,0,,956b223774eb4ba2051e90e214264ae5
SPX_phase1_recvuwbllHNBgv,SPX_phase1,1,爆,5,1,AC,bracket,0,,a7e25b2d0f9110c81bc270bdc0ca2579
SPX_phase1_recvtWVFOW0mGs,SPX_phase1,1,爆,9,1,AC,bracket,0,,70d991faeb5b6e1e901464e10986c9c0
SPX_phase1_recvsxkitAfnoK,SPX_phase1,0,趴,3,1,AC,bracket,0,,d85c5806c3d601c8a9239d7cdff1eac0
SPX_phase1_recvqVAd4GvnCd,SPX_phase1,0,趴,7,1,AC,bracket,0,,2767a9db2aa7aa592e710f3ff537df9e
NRT_phase2_recuYyYJm2KerZ,NRT_phase2,1,爆,2,2,AB,colon,0,,bb4eb6c2701d6a927f46b3addc2a71a0
NRT_phase2_recuXYC07aiPXm,NRT_phase2,1,大爆,6,2,AB,colon,0,,14e2f9a9b648eb76bf86ccaa09fbf598
NRT_phase2_recuZkIQtVBW1l,NRT_phase2,1,爆,10,2,AB,colon,0,,4feb5e99445db6f8467ef976caeda6f0
NRT_phase2_recuZ8Lij7vGAj,NRT_phase2,0,趴,4,2,AB,colon,0,,22d3cf57af81898f7537d2d549689208
NRT_phase2_recuYs7CP28GTg,NRT_phase2,0,趴,8,2,AB,colon,0,,701c8a07b63521bf299aeadb34a6d23a
NRT_phase3_recv1ARtq6nE06,NRT_phase3,1,爆,2,2,AB,colon,0,,c251c97be542d7600c3bbe5f5ec50d53
NRT_phase3_recv0wDwqPB9P5,NRT_phase3,1,爆,6,2,AB,colon,0,,706c3bb2aed675259372d009c5eb047b
NRT_phase3_recv1vrL72SFzE,NRT_phase3,1,大爆,10,2,AB,colon,0,,f68bf1dffae81ddea9124e460f81960a
NRT_phase3_recv0xer3flcF3,NRT_phase3,0,趴,4,2,AB,colon,0,,d684ab5b8a517d532e3fbdf8b9c4555a
NRT_phase3_recv0xer3f2I22,NRT_phase3,0,趴,8,2,AB,colon,0,,2a785f81e6d6aa47212b73b37de85f33
NUC_phase1_recv2lNktp6h13,NUC_phase1,1,爆,2,2,AB,colon,0,,09f39df5992b82cda91df8903adb1bb3
NUC_phase1_recv3K4xf09gDe,NUC_phase1,1,大爆,6,2,AB,colon,0,,ee87011cef95d59ecc89e0c3d7f91aa1
NUC_phase1_recv59erAaKllf,NUC_phase1,1,爆,10,2,AB,colon,0,,a482967e3e6d1b3076edf3ae9ed1f366
NUC_phase1_recv2Z8m1lnHwZ,NUC_phase1,0,趴,4,2,AB,colon,0,,2f6168eb7461ec14d20116ee0be264d4
NUC_phase1_recv3rSop52dZR,NUC_phase1,0,趴,8,2,AB,colon,0,,ea63223fb4c29d53ed43ef0d24cc7bb1
OKMAN_phase1_recvrd83rmeBC5,OKMAN_phase1,1,爆,2,2,AB,bracket,0,,50249a6af9d8379a53c72ce7656fb436
OKMAN_phase1_recvngg4GKkBDr,OKMAN_phase1,1,爆,6,2,AB,bracket,0,,56ea05b90e4a1de715ec7dc69cbf9832
OKMAN_phase1_recvngg4GKFMep,OKMAN_phase1,1,爆,10,2,AB,bracket,0,,1ade6584cc9aa7ddb10c33406069137d
OKMAN_phase1_recvqtis0iHKYk,OKMAN_phase1,0,趴,4,2,AB,none,0,title_is_question,3e10a54150c65699d105b2bbadfb69b7
OKMAN_phase1_recvrTMpirGoN0,OKMAN_phase1,0,趴,8,2,AB,bracket,0,,f6b159089219ef52abf0b8fc3e53c44b
SPX_phase1_recvqVAd4Gs0Lw,SPX_phase1,1,大爆,2,2,AB,bracket,0,,2b48256fd153caa149d53ee94857f3d3
